,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125,m126,m127,m128,m129,m130,m131,m132,m133,m134,m135,m136,m137,m138,m139,m140,m141,m142,m143,m144,m145,m146,m147,m148,m149,m150,m151,m152,m153,m154,m155,m156,m157,m158,m159,m160,m161,m162,m163,m164,m165,m166,m167,m168,m169,m170,m171,m172,m173,m174,m175,m176,m177,m178,m179,m180,m181,m182,m183,m184,m185,m186,m187
m134,14.0,70.0,45.0,8.0,3.0,50.0,26.0,15.0,9.0,19.0,51.0,24.0,41.0,24.0,27.0,27.0,16.0,41.0,41.0,48.0,17.0,11.0,15.0,29.0,19.0,38.0,27.0,32.0,38.0,40.0,31.0,39.0,5.0,6.0,7.0,5.0,12.0,6.0,13.0,6.0,20.0,49.0,34.0,47.0,18.0,20.0,22.0,21.0,19.0,23.0,5.0,8.0,4.0,22.0,4.0,17.0,21.0,36.0,26.0,28.0,27.0,35.0,3.0,29.0,28.0,40.0,57.0,47.0,56.0,56.0,55.0,48.0,50.0,54.0,49.0,9.0,7.0,8.0,6.0,22.0,17.0,18.0,32.0,25.0,31.0,35.0,45.0,44.0,21.0,19.0,16.0,30.0,29.0,19.0,25.0,26.0,39.0,38.0,59.0,52.0,68.0,51.0,50.0,49.0,37.0,35.0,28.0,30.0,29.0,33.0,32.0,46.0,36.0,46.0,45.0,20.0,18.0,29.0,20.0,30.0,23.0,29.0,33.0,43.0,42.0,58.0,34.0,32.0,25.0,23.0,27.0,26.0,43.0,44.0,42.0,35.0,37.0,36.0,28.0,57.0,56.0,67.0,43.0,37.0,52.0,53.0,30.0,40.0,39.0,66.0,65.0,2.0,2.0,1.0,0.0,4.0,10.0,12.0,11.0,9.0,8.0,10.0,9.0,7.0,10.0,15.0,3.0,14.0,4.0,5.0,12.0,14.0,13.0,18.0,11.0,13.0,12.0,11.0,10.0,3.0,2.0,1.0,14.0,4.0,3.0,2.0,10.0,11.0,15.0,5.0,31.0,27.0,18.0,14.0,9.0,13.0,28.0,37.0,33.0,13.0,8.0,12.0,38.0,34.0,13.0,6.0,17.0,7.0
m135,12.0,66.0,41.0,10.0,1.0,46.0,22.0,15.0,11.0,19.0,47.0,22.0,37.0,28.0,23.0,29.0,18.0,39.0,39.0,44.0,13.0,9.0,11.0,25.0,17.0,34.0,23.0,30.0,34.0,36.0,29.0,35.0,5.0,8.0,7.0,9.0,8.0,8.0,11.0,4.0,16.0,45.0,30.0,43.0,14.0,16.0,20.0,19.0,17.0,21.0,5.0,12.0,6.0,18.0,6.0,17.0,17.0,32.0,22.0,26.0,25.0,31.0,7.0,27.0,26.0,38.0,53.0,43.0,52.0,52.0,51.0,44.0,46.0,50.0,45.0,5.0,3.0,6.0,4.0,18.0,13.0,16.0,28.0,21.0,27.0,31.0,41.0,40.0,17.0,15.0,14.0,26.0,27.0,17.0,23.0,24.0,37.0,36.0,55.0,48.0,64.0,47.0,46.0,45.0,33.0,31.0,24.0,26.0,25.0,29.0,28.0,42.0,32.0,42.0,41.0,18.0,16.0,27.0,16.0,26.0,19.0,25.0,29.0,39.0,38.0,54.0,30.0,28.0,21.0,19.0,23.0,22.0,39.0,40.0,38.0,31.0,33.0,32.0,28.0,53.0,52.0,63.0,39.0,35.0,48.0,49.0,26.0,36.0,35.0,62.0,61.0,2.0,6.0,3.0,4.0,0.0,10.0,8.0,9.0,11.0,8.0,6.0,7.0,9.0,10.0,19.0,1.0,14.0,4.0,3.0,12.0,10.0,11.0,20.0,11.0,9.0,10.0,13.0,14.0,5.0,2.0,3.0,18.0,8.0,5.0,6.0,12.0,9.0,13.0,9.0,29.0,25.0,22.0,16.0,11.0,15.0,26.0,35.0,31.0,17.0,12.0,16.0,36.0,32.0,17.0,8.0,21.0,11.0
m136,22.0,60.0,35.0,6.0,11.0,40.0,20.0,23.0,11.0,9.0,41.0,32.0,31.0,34.0,33.0,19.0,8.0,49.0,49.0,38.0,13.0,19.0,15.0,19.0,27.0,28.0,17.0,40.0,28.0,30.0,39.0,29.0,13.0,8.0,3.0,15.0,18.0,4.0,21.0,14.0,10.0,39.0,24.0,37.0,12.0,26.0,30.0,29.0,27.0,31.0,5.0,18.0,6.0,12.0,12.0,7.0,11.0,26.0,32.0,36.0,35.0,25.0,13.0,37.0,36.0,48.0,47.0,37.0,46.0,46.0,45.0,38.0,40.0,44.0,39.0,5.0,7.0,4.0,6.0,18.0,23.0,26.0,28.0,21.0,27.0,31.0,41.0,40.0,11.0,9.0,24.0,20.0,37.0,27.0,33.0,34.0,47.0,46.0,49.0,42.0,58.0,41.0,40.0,39.0,27.0,25.0,18.0,20.0,19.0,27.0,26.0,36.0,30.0,40.0,39.0,10.0,8.0,19.0,20.0,30.0,23.0,29.0,33.0,43.0,42.0,48.0,24.0,22.0,15.0,17.0,17.0,16.0,33.0,34.0,32.0,25.0,27.0,26.0,18.0,47.0,46.0,57.0,33.0,45.0,42.0,43.0,36.0,46.0,45.0,56.0,55.0,10.0,12.0,9.0,10.0,10.0,0.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,18.0,25.0,9.0,22.0,12.0,13.0,2.0,4.0,3.0,10.0,1.0,3.0,2.0,3.0,20.0,11.0,8.0,9.0,24.0,14.0,11.0,12.0,2.0,19.0,23.0,15.0,39.0,35.0,28.0,22.0,17.0,21.0,36.0,45.0,41.0,23.0,18.0,22.0,46.0,42.0,23.0,14.0,27.0,17.0
m137,20.0,58.0,33.0,8.0,9.0,38.0,18.0,23.0,13.0,11.0,39.0,30.0,29.0,36.0,31.0,21.0,10.0,47.0,47.0,36.0,11.0,17.0,13.0,17.0,25.0,26.0,15.0,38.0,26.0,28.0,37.0,27.0,13.0,10.0,5.0,17.0,16.0,6.0,19.0,12.0,8.0,37.0,22.0,35.0,10.0,24.0,28.0,27.0,25.0,29.0,7.0,20.0,8.0,10.0,14.0,9.0,9.0,24.0,30.0,34.0,33.0,23.0,15.0,35.0,34.0,46.0,45.0,35.0,44.0,44.0,43.0,36.0,38.0,42.0,37.0,3.0,5.0,4.0,6.0,16.0,21.0,24.0,26.0,19.0,25.0,29.0,39.0,38.0,9.0,7.0,22.0,18.0,35.0,25.0,31.0,32.0,45.0,44.0,47.0,40.0,56.0,39.0,38.0,37.0,25.0,23.0,16.0,18.0,17.0,25.0,24.0,34.0,28.0,38.0,37.0,10.0,8.0,19.0,18.0,28.0,21.0,27.0,31.0,41.0,40.0,46.0,22.0,20.0,13.0,15.0,15.0,14.0,31.0,32.0,30.0,23.0,25.0,24.0,20.0,45.0,44.0,55.0,31.0,43.0,40.0,41.0,34.0,44.0,43.0,54.0,53.0,10.0,14.0,11.0,12.0,8.0,2.0,0.0,1.0,3.0,4.0,2.0,3.0,5.0,18.0,27.0,9.0,22.0,12.0,11.0,4.0,2.0,3.0,12.0,3.0,1.0,2.0,5.0,22.0,13.0,10.0,11.0,26.0,16.0,13.0,14.0,4.0,17.0,21.0,17.0,37.0,33.0,30.0,24.0,19.0,23.0,34.0,43.0,39.0,25.0,20.0,24.0,44.0,40.0,25.0,16.0,29.0,19.0
m138,21.0,59.0,34.0,7.0,10.0,39.0,19.0,22.0,12.0,10.0,40.0,31.0,30.0,35.0,32.0,20.0,9.0,48.0,48.0,37.0,12.0,18.0,14.0,18.0,26.0,27.0,16.0,39.0,27.0,29.0,38.0,28.0,12.0,9.0,4.0,16.0,17.0,5.0,20.0,13.0,9.0,38.0,23.0,36.0,11.0,25.0,29.0,28.0,26.0,30.0,6.0,19.0,7.0,11.0,13.0,8.0,10.0,25.0,31.0,35.0,34.0,24.0,14.0,36.0,35.0,47.0,46.0,36.0,45.0,45.0,44.0,37.0,39.0,43.0,38.0,4.0,6.0,3.0,5.0,17.0,22.0,25.0,27.0,20.0,26.0,30.0,40.0,39.0,10.0,8.0,23.0,19.0,36.0,26.0,32.0,33.0,46.0,45.0,48.0,41.0,57.0,40.0,39.0,38.0,26.0,24.0,17.0,19.0,18.0,26.0,25.0,35.0,29.0,39.0,38.0,9.0,7.0,18.0,19.0,29.0,22.0,28.0,32.0,42.0,41.0,47.0,23.0,21.0,14.0,16.0,16.0,15.0,32.0,33.0,31.0,24.0,26.0,25.0,19.0,46.0,45.0,56.0,32.0,44.0,41.0,42.0,35.0,45.0,44.0,55.0,54.0,9.0,13.0,10.0,11.0,9.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,4.0,17.0,26.0,8.0,21.0,11.0,12.0,3.0,3.0,2.0,11.0,2.0,2.0,1.0,4.0,21.0,12.0,9.0,10.0,25.0,15.0,12.0,13.0,3.0,18.0,22.0,16.0,38.0,34.0,29.0,23.0,18.0,22.0,35.0,44.0,40.0,24.0,19.0,23.0,45.0,41.0,24.0,15.0,28.0,18.0
m139,23.0,61.0,36.0,5.0,12.0,41.0,21.0,24.0,10.0,10.0,42.0,33.0,32.0,33.0,34.0,18.0,7.0,50.0,50.0,39.0,14.0,20.0,16.0,20.0,28.0,29.0,18.0,41.0,29.0,31.0,40.0,30.0,14.0,7.0,4.0,14.0,19.0,3.0,22.0,15.0,11.0,40.0,25.0,38.0,13.0,27.0,31.0,30.0,28.0,32.0,6.0,17.0,5.0,13.0,13.0,8.0,12.0,27.0,33.0,37.0,36.0,26.0,12.0,38.0,37.0,49.0,48.0,38.0,47.0,47.0,46.0,39.0,41.0,45.0,40.0,6.0,8.0,5.0,7.0,19.0,24.0,27.0,29.0,22.0,28.0,32.0,42.0,41.0,12.0,10.0,25.0,21.0,38.0,28.0,34.0,35.0,48.0,47.0,50.0,43.0,59.0,42.0,41.0,40.0,28.0,26.0,19.0,21.0,20.0,28.0,27.0,37.0,31.0,41.0,40.0,11.0,9.0,20.0,21.0,31.0,24.0,30.0,34.0,44.0,43.0,49.0,25.0,23.0,16.0,18.0,18.0,17.0,34.0,35.0,33.0,26.0,28.0,27.0,19.0,48.0,47.0,58.0,34.0,46.0,43.0,44.0,37.0,47.0,46.0,57.0,56.0,11.0,11.0,10.0,9.0,11.0,1.0,3.0,2.0,0.0,3.0,5.0,4.0,2.0,19.0,24.0,10.0,23.0,13.0,14.0,3.0,5.0,4.0,9.0,2.0,4.0,3.0,2.0,19.0,10.0,9.0,8.0,23.0,13.0,12.0,11.0,1.0,20.0,24.0,14.0,40.0,36.0,27.0,23.0,18.0,22.0,37.0,46.0,42.0,22.0,17.0,21.0,47.0,43.0,22.0,13.0,26.0,16.0
m140,20.0,62.0,37.0,4.0,9.0,42.0,18.0,21.0,9.0,11.0,43.0,30.0,33.0,32.0,31.0,21.0,10.0,47.0,47.0,40.0,11.0,17.0,13.0,21.0,25.0,30.0,19.0,38.0,30.0,32.0,37.0,31.0,11.0,6.0,1.0,13.0,16.0,2.0,19.0,12.0,12.0,41.0,26.0,39.0,10.0,24.0,28.0,27.0,25.0,29.0,3.0,16.0,4.0,14.0,10.0,9.0,13.0,28.0,30.0,34.0,33.0,27.0,11.0,35.0,34.0,46.0,49.0,39.0,48.0,48.0,47.0,40.0,42.0,46.0,41.0,3.0,5.0,2.0,4.0,16.0,21.0,24.0,26.0,19.0,25.0,29.0,39.0,38.0,13.0,11.0,22.0,22.0,35.0,25.0,31.0,32.0,45.0,44.0,51.0,44.0,60.0,43.0,42.0,41.0,29.0,27.0,20.0,22.0,21.0,25.0,24.0,38.0,28.0,38.0,37.0,12.0,10.0,21.0,18.0,28.0,21.0,27.0,31.0,41.0,40.0,50.0,26.0,24.0,17.0,15.0,19.0,18.0,35.0,36.0,34.0,27.0,29.0,28.0,20.0,49.0,48.0,59.0,35.0,43.0,44.0,45.0,34.0,44.0,43.0,58.0,57.0,8.0,10.0,7.0,8.0,8.0,2.0,4.0,3.0,3.0,0.0,2.0,1.0,1.0,16.0,23.0,7.0,20.0,10.0,11.0,4.0,6.0,5.0,12.0,3.0,5.0,4.0,5.0,18.0,9.0,6.0,7.0,22.0,12.0,9.0,10.0,4.0,17.0,21.0,13.0,37.0,33.0,26.0,20.0,15.0,19.0,34.0,43.0,39.0,21.0,16.0,20.0,44.0,40.0,21.0,12.0,25.0,15.0
m141,18.0,60.0,35.0,6.0,7.0,40.0,16.0,21.0,11.0,13.0,41.0,28.0,31.0,34.0,29.0,23.0,12.0,45.0,45.0,38.0,9.0,15.0,11.0,19.0,23.0,28.0,17.0,36.0,28.0,30.0,35.0,29.0,11.0,8.0,3.0,15.0,14.0,4.0,17.0,10.0,10.0,39.0,24.0,37.0,8.0,22.0,26.0,25.0,23.0,27.0,5.0,18.0,6.0,12.0,12.0,11.0,11.0,26.0,28.0,32.0,31.0,25.0,13.0,33.0,32.0,44.0,47.0,37.0,46.0,46.0,45.0,38.0,40.0,44.0,39.0,1.0,3.0,2.0,4.0,14.0,19.0,22.0,24.0,17.0,23.0,27.0,37.0,36.0,11.0,9.0,20.0,20.0,33.0,23.0,29.0,30.0,43.0,42.0,49.0,42.0,58.0,41.0,40.0,39.0,27.0,25.0,18.0,20.0,19.0,23.0,22.0,36.0,26.0,36.0,35.0,12.0,10.0,21.0,16.0,26.0,19.0,25.0,29.0,39.0,38.0,48.0,24.0,22.0,15.0,13.0,17.0,16.0,33.0,34.0,32.0,25.0,27.0,26.0,22.0,47.0,46.0,57.0,33.0,41.0,42.0,43.0,32.0,42.0,41.0,56.0,55.0,8.0,12.0,9.0,10.0,6.0,4.0,2.0,3.0,5.0,2.0,0.0,1.0,3.0,16.0,25.0,7.0,20.0,10.0,9.0,6.0,4.0,5.0,14.0,5.0,3.0,4.0,7.0,20.0,11.0,8.0,9.0,24.0,14.0,11.0,12.0,6.0,15.0,19.0,15.0,35.0,31.0,28.0,22.0,17.0,21.0,32.0,41.0,37.0,23.0,18.0,22.0,42.0,38.0,23.0,14.0,27.0,17.0
m142,19.0,61.0,36.0,5.0,8.0,41.0,17.0,20.0,10.0,12.0,42.0,29.0,32.0,33.0,30.0,22.0,11.0,46.0,46.0,39.0,10.0,16.0,12.0,20.0,24.0,29.0,18.0,37.0,29.0,31.0,36.0,30.0,10.0,7.0,2.0,14.0,15.0,3.0,18.0,11.0,11.0,40.0,25.0,38.0,9.0,23.0,27.0,26.0,24.0,28.0,4.0,17.0,5.0,13.0,11.0,10.0,12.0,27.0,29.0,33.0,32.0,26.0,12.0,34.0,33.0,45.0,48.0,38.0,47.0,47.0,46.0,39.0,41.0,45.0,40.0,2.0,4.0,1.0,3.0,15.0,20.0,23.0,25.0,18.0,24.0,28.0,38.0,37.0,12.0,10.0,21.0,21.0,34.0,24.0,30.0,31.0,44.0,43.0,50.0,43.0,59.0,42.0,41.0,40.0,28.0,26.0,19.0,21.0,20.0,24.0,23.0,37.0,27.0,37.0,36.0,11.0,9.0,20.0,17.0,27.0,20.0,26.0,30.0,40.0,39.0,49.0,25.0,23.0,16.0,14.0,18.0,17.0,34.0,35.0,33.0,26.0,28.0,27.0,21.0,48.0,47.0,58.0,34.0,42.0,43.0,44.0,33.0,43.0,42.0,57.0,56.0,7.0,11.0,8.0,9.0,7.0,3.0,3.0,2.0,4.0,1.0,1.0,0.0,2.0,15.0,24.0,6.0,19.0,9.0,10.0,5.0,5.0,4.0,13.0,4.0,4.0,3.0,6.0,19.0,10.0,7.0,8.0,23.0,13.0,10.0,11.0,5.0,16.0,20.0,14.0,36.0,32.0,27.0,21.0,16.0,20.0,33.0,42.0,38.0,22.0,17.0,21.0,43.0,39.0,22.0,13.0,26.0,16.0
m143,21.0,63.0,38.0,3.0,10.0,43.0,19.0,22.0,8.0,12.0,44.0,31.0,34.0,31.0,32.0,20.0,9.0,48.0,48.0,41.0,12.0,18.0,14.0,22.0,26.0,31.0,20.0,39.0,31.0,33.0,38.0,32.0,12.0,5.0,2.0,12.0,17.0,1.0,20.0,13.0,13.0,42.0,27.0,40.0,11.0,25.0,29.0,28.0,26.0,30.0,4.0,15.0,3.0,15.0,11.0,10.0,14.0,29.0,31.0,35.0,34.0,28.0,10.0,36.0,35.0,47.0,50.0,40.0,49.0,49.0,48.0,41.0,43.0,47.0,42.0,4.0,6.0,3.0,5.0,17.0,22.0,25.0,27.0,20.0,26.0,30.0,40.0,39.0,14.0,12.0,23.0,23.0,36.0,26.0,32.0,33.0,46.0,45.0,52.0,45.0,61.0,44.0,43.0,42.0,30.0,28.0,21.0,23.0,22.0,26.0,25.0,39.0,29.0,39.0,38.0,13.0,11.0,22.0,19.0,29.0,22.0,28.0,32.0,42.0,41.0,51.0,27.0,25.0,18.0,16.0,20.0,19.0,36.0,37.0,35.0,28.0,30.0,29.0,21.0,50.0,49.0,60.0,36.0,44.0,45.0,46.0,35.0,45.0,44.0,59.0,58.0,9.0,9.0,8.0,7.0,9.0,3.0,5.0,4.0,2.0,1.0,3.0,2.0,0.0,17.0,22.0,8.0,21.0,11.0,12.0,5.0,7.0,6.0,11.0,4.0,6.0,5.0,4.0,17.0,8.0,7.0,6.0,21.0,11.0,10.0,9.0,3.0,18.0,22.0,12.0,38.0,34.0,25.0,21.0,16.0,20.0,35.0,44.0,40.0,20.0,15.0,19.0,45.0,41.0,20.0,11.0,24.0,14.0
m144,14.0,76.0,51.0,18.0,9.0,56.0,32.0,5.0,19.0,27.0,57.0,14.0,47.0,18.0,33.0,37.0,26.0,31.0,43.0,54.0,23.0,17.0,21.0,35.0,19.0,44.0,33.0,32.0,44.0,46.0,33.0,45.0,5.0,16.0,15.0,9.0,18.0,16.0,15.0,6.0,26.0,55.0,40.0,53.0,24.0,26.0,22.0,23.0,9.0,13.0,13.0,12.0,14.0,28.0,6.0,25.0,27.0,42.0,32.0,28.0,29.0,41.0,7.0,29.0,30.0,42.0,63.0,53.0,62.0,62.0,61.0,54.0,56.0,60.0,55.0,15.0,13.0,14.0,12.0,28.0,23.0,20.0,38.0,31.0,37.0,41.0,51.0,50.0,27.0,25.0,22.0,36.0,35.0,25.0,31.0,32.0,45.0,44.0,65.0,58.0,74.0,57.0,56.0,55.0,43.0,41.0,34.0,36.0,35.0,39.0,38.0,52.0,42.0,52.0,51.0,26.0,24.0,35.0,26.0,36.0,29.0,35.0,39.0,49.0,48.0,64.0,40.0,38.0,31.0,29.0,33.0,32.0,49.0,50.0,48.0,41.0,43.0,42.0,36.0,63.0,62.0,73.0,49.0,27.0,58.0,59.0,36.0,46.0,45.0,72.0,71.0,8.0,12.0,9.0,10.0,10.0,18.0,18.0,17.0,19.0,16.0,16.0,15.0,17.0,0.0,9.0,9.0,4.0,6.0,7.0,20.0,20.0,19.0,28.0,19.0,19.0,18.0,21.0,4.0,13.0,10.0,11.0,8.0,10.0,7.0,8.0,20.0,1.0,5.0,15.0,21.0,17.0,12.0,6.0,1.0,5.0,18.0,27.0,23.0,7.0,2.0,6.0,28.0,24.0,7.0,16.0,11.0,13.0
m145,23.0,85.0,60.0,19.0,18.0,65.0,41.0,4.0,20.0,34.0,66.0,23.0,56.0,9.0,42.0,42.0,31.0,32.0,52.0,63.0,32.0,26.0,30.0,44.0,28.0,53.0,42.0,41.0,53.0,55.0,42.0,54.0,14.0,17.0,22.0,10.0,27.0,21.0,24.0,15.0,35.0,64.0,49.0,62.0,33.0,35.0,31.0,32.0,18.0,14.0,20.0,13.0,19.0,37.0,13.0,32.0,36.0,51.0,41.0,37.0,38.0,50.0,12.0,38.0,39.0,51.0,72.0,62.0,71.0,71.0,70.0,63.0,65.0,69.0,64.0,24.0,22.0,23.0,21.0,37.0,32.0,29.0,47.0,40.0,46.0,50.0,60.0,59.0,36.0,34.0,31.0,45.0,44.0,34.0,40.0,41.0,54.0,53.0,74.0,67.0,83.0,66.0,65.0,64.0,52.0,50.0,43.0,45.0,44.0,48.0,47.0,61.0,51.0,61.0,60.0,35.0,33.0,44.0,35.0,45.0,38.0,44.0,48.0,58.0,57.0,73.0,49.0,47.0,40.0,38.0,42.0,41.0,58.0,59.0,57.0,50.0,52.0,51.0,43.0,72.0,71.0,82.0,58.0,36.0,67.0,68.0,45.0,55.0,54.0,81.0,80.0,17.0,13.0,16.0,15.0,19.0,25.0,27.0,26.0,24.0,23.0,25.0,24.0,22.0,9.0,0.0,18.0,5.0,15.0,16.0,27.0,29.0,28.0,33.0,26.0,28.0,27.0,26.0,5.0,14.0,17.0,16.0,1.0,11.0,14.0,13.0,25.0,10.0,6.0,16.0,22.0,26.0,3.0,3.0,8.0,4.0,19.0,28.0,32.0,2.0,7.0,3.0,29.0,33.0,8.0,17.0,4.0,14.0
m146,13.0,67.0,42.0,9.0,2.0,47.0,23.0,14.0,10.0,18.0,48.0,23.0,38.0,27.0,24.0,28.0,17.0,40.0,40.0,45.0,14.0,10.0,12.0,26.0,18.0,35.0,24.0,31.0,35.0,37.0,30.0,36.0,4.0,7.0,6.0,8.0,9.0,7.0,12.0,5.0,17.0,46.0,31.0,44.0,15.0,17.0,21.0,20.0,18.0,22.0,4.0,11.0,5.0,19.0,5.0,16.0,18.0,33.0,23.0,27.0,26.0,32.0,6.0,28.0,27.0,39.0,54.0,44.0,53.0,53.0,52.0,45.0,47.0,51.0,46.0,6.0,4.0,5.0,3.0,19.0,14.0,17.0,29.0,22.0,28.0,32.0,42.0,41.0,18.0,16.0,15.0,27.0,28.0,18.0,24.0,25.0,38.0,37.0,56.0,49.0,65.0,48.0,47.0,46.0,34.0,32.0,25.0,27.0,26.0,30.0,29.0,43.0,33.0,43.0,42.0,17.0,15.0,26.0,17.0,27.0,20.0,26.0,30.0,40.0,39.0,55.0,31.0,29.0,22.0,20.0,24.0,23.0,40.0,41.0,39.0,32.0,34.0,33.0,27.0,54.0,53.0,64.0,40.0,36.0,49.0,50.0,27.0,37.0,36.0,63.0,62.0,1.0,5.0,2.0,3.0,1.0,9.0,9.0,8.0,10.0,7.0,7.0,6.0,8.0,9.0,18.0,0.0,13.0,3.0,4.0,11.0,11.0,10.0,19.0,10.0,10.0,9.0,12.0,13.0,4.0,1.0,2.0,17.0,7.0,4.0,5.0,11.0,10.0,14.0,8.0,30.0,26.0,21.0,15.0,10.0,14.0,27.0,36.0,32.0,16.0,11.0,15.0,37.0,33.0,16.0,7.0,20.0,10.0
m147,18.0,80.0,55.0,22.0,13.0,60.0,36.0,1.0,23.0,31.0,61.0,18.0,51.0,14.0,37.0,41.0,30.0,27.0,47.0,58.0,27.0,21.0,25.0,39.0,23.0,48.0,37.0,36.0,48.0,50.0,37.0,49.0,9.0,20.0,19.0,13.0,22.0,20.0,19.0,10.0,30.0,59.0,44.0,57.0,28.0,30.0,26.0,27.0,13.0,9.0,17.0,16.0,18.0,32.0,10.0,29.0,31.0,46.0,36.0,32.0,33.0,45.0,11.0,33.0,34.0,46.0,67.0,57.0,66.0,66.0,65.0,58.0,60.0,64.0,59.0,19.0,17.0,18.0,16.0,32.0,27.0,24.0,42.0,35.0,41.0,45.0,55.0,54.0,31.0,29.0,26.0,40.0,39.0,29.0,35.0,36.0,49.0,48.0,69.0,62.0,78.0,61.0,60.0,59.0,47.0,45.0,38.0,40.0,39.0,43.0,42.0,56.0,46.0,56.0,55.0,30.0,28.0,39.0,30.0,40.0,33.0,39.0,43.0,53.0,52.0,68.0,44.0,42.0,35.0,33.0,37.0,36.0,53.0,54.0,52.0,45.0,47.0,46.0,40.0,67.0,66.0,77.0,53.0,31.0,62.0,63.0,40.0,50.0,49.0,76.0,75.0,12.0,16.0,13.0,14.0,14.0,22.0,22.0,21.0,23.0,20.0,20.0,19.0,21.0,4.0,5.0,13.0,0.0,10.0,11.0,24.0,24.0,23.0,32.0,23.0,23.0,22.0,25.0,8.0,17.0,14.0,15.0,4.0,14.0,11.0,12.0,24.0,5.0,1.0,19.0,17.0,21.0,8.0,2.0,5.0,1.0,14.0,23.0,27.0,3.0,6.0,2.0,24.0,28.0,11.0,20.0,7.0,17.0
m148,10.0,70.0,45.0,12.0,3.0,50.0,26.0,11.0,13.0,21.0,51.0,20.0,41.0,24.0,27.0,31.0,20.0,37.0,37.0,48.0,17.0,11.0,15.0,29.0,15.0,38.0,27.0,28.0,38.0,40.0,27.0,39.0,1.0,10.0,9.0,5.0,12.0,10.0,9.0,2.0,20.0,49.0,34.0,47.0,18.0,20.0,18.0,17.0,15.0,19.0,7.0,8.0,8.0,22.0,2.0,19.0,21.0,36.0,26.0,24.0,23.0,35.0,3.0,25.0,24.0,36.0,57.0,47.0,56.0,56.0,55.0,48.0,50.0,54.0,49.0,9.0,7.0,8.0,6.0,22.0,17.0,14.0,32.0,25.0,31.0,35.0,45.0,44.0,21.0,19.0,16.0,30.0,29.0,19.0,25.0,26.0,39.0,38.0,59.0,52.0,68.0,51.0,50.0,49.0,37.0,35.0,28.0,30.0,29.0,33.0,32.0,46.0,36.0,46.0,45.0,20.0,18.0,29.0,20.0,30.0,23.0,29.0,33.0,43.0,42.0,58.0,34.0,32.0,25.0,23.0,27.0,26.0,43.0,44.0,42.0,35.0,37.0,36.0,30.0,57.0,56.0,67.0,43.0,33.0,52.0,53.0,30.0,40.0,39.0,66.0,65.0,2.0,6.0,3.0,4.0,4.0,12.0,12.0,11.0,13.0,10.0,10.0,9.0,11.0,6.0,15.0,3.0,10.0,0.0,1.0,14.0,14.0,13.0,22.0,13.0,13.0,12.0,15.0,10.0,7.0,4.0,5.0,14.0,4.0,1.0,2.0,14.0,7.0,11.0,9.0,27.0,23.0,18.0,12.0,7.0,11.0,24.0,33.0,29.0,13.0,8.0,12.0,34.0,30.0,13.0,10.0,17.0,7.0
m149,9.0,69.0,44.0,13.0,2.0,49.0,25.0,12.0,14.0,22.0,50.0,19.0,40.0,25.0,26.0,32.0,21.0,36.0,36.0,47.0,16.0,10.0,14.0,28.0,14.0,37.0,26.0,27.0,37.0,39.0,26.0,38.0,2.0,11.0,10.0,6.0,11.0,11.0,8.0,1.0,19.0,48.0,33.0,46.0,17.0,19.0,17.0,16.0,14.0,18.0,8.0,9.0,9.0,21.0,3.0,20.0,20.0,35.0,25.0,23.0,22.0,34.0,4.0,24.0,23.0,35.0,56.0,46.0,55.0,55.0,54.0,47.0,49.0,53.0,48.0,8.0,6.0,9.0,7.0,21.0,16.0,13.0,31.0,24.0,30.0,34.0,44.0,43.0,20.0,18.0,15.0,29.0,28.0,18.0,24.0,25.0,38.0,37.0,58.0,51.0,67.0,50.0,49.0,48.0,36.0,34.0,27.0,29.0,28.0,32.0,31.0,45.0,35.0,45.0,44.0,21.0,19.0,30.0,19.0,29.0,22.0,28.0,32.0,42.0,41.0,57.0,33.0,31.0,24.0,22.0,26.0,25.0,42.0,43.0,41.0,34.0,36.0,35.0,31.0,56.0,55.0,66.0,42.0,32.0,51.0,52.0,29.0,39.0,38.0,65.0,64.0,3.0,7.0,4.0,5.0,3.0,13.0,11.0,12.0,14.0,11.0,9.0,10.0,12.0,7.0,16.0,4.0,11.0,1.0,0.0,15.0,13.0,14.0,23.0,14.0,12.0,13.0,16.0,11.0,8.0,5.0,6.0,15.0,5.0,2.0,3.0,15.0,6.0,10.0,10.0,26.0,22.0,19.0,13.0,8.0,12.0,23.0,32.0,28.0,14.0,9.0,13.0,33.0,29.0,14.0,11.0,18.0,8.0
